Prey \ predator,Baleen whales,Toothed whales,Seals,Seabirds,Juvenile sharks,Spurdog,Large piscivorous sharks,Small sharks,Juvenile rays,Starry ray + others,Thornback & Spotted ray,Skate + cuckoo ray,"Juvenile Cod(0-2, 0-40cm)",Cod (adult),"Juvenile Whiting (0-1, 0-20cm)",Whiting (adult),"Juvenile Haddock (0-1, 0-20cm)",Haddock (adult),"Juvenile Saithe (0-3, 0-40cm)",Saithe (adult),Hake,Blue whiting,Norway pout,Other gadoids (large),Other gadoids (small),Monkfish,Gurnards,"Herring (juvenile 0, 1)",Herring (adult),Sprat,Mackerel,Horse mackerel,Sandeels,Plaice,Dab,Long-rough dab,Flounder,Sole,Lemon sole,Witch,Turbot and brill,Megrim,Halibut,Dragonets,Catfish (Wolf-fish),Large demersal fish,Small demersal fish,Miscellaneous filterfeeding pelagic fish,Squid & cuttlefish,Fish larvae,Carnivorous zooplankton,Herbivorous & Omnivorous zooplankton (copepods),Gelatinous zooplankton,Large crabs,Nephrops,Epifaunal macrobenthos (mobile grazers),Infaunal macrobenthos,Shrimp,Small mobile epifauna (swarming crustaceans),Small infauna (polychaetes),Sessile epifauna,Meiofauna,"Benthic microflora (incl. Bacteria, protozoa))","Planktonic microflora (incl. Bacteria, protozoa)",Phytoplankton,Detritus - DOM -water column,Detritus - POM - sediment,Discards,Import
Gelatinous zooplankton,0.1040085,0,0,0,0.02690269,0.03757215,0,0,0,0,0,0,0,0.00010004,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00340034,0,0,0.07130713,0,0,0,0,0,0,0,0,0.0008,0,0.0332,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Large crabs,0,0,0,0,0.02810281,0.01399747,0,0.1142114,0.096,0.06439357,0.3827383,0.0638503,0.04020396,0.102441,0.02039796,0.01580158,0.004100418,0.02020125,0,0,0.00019998,0,0,0.0115,0.01640062,0,0.06740445,0,0,0,0,0,0,0.01590159,0.01,0.04259574,0.04890489,0,0,0,0,0.02769723,0.09967554,0.008,0.051,0,0.04950332,0,0,0,0,0,0,0.001066767,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Nephrops,0,0,0,0,0.00740074,0.0107349,0,0.01880188,0,0,0,0.001757348,0.002010198,0.05152061,0,0.00060006,0.00020002,0.05030312,0,0,0,0,0,0,0.03990152,0.00759924,0.000800053,0,0,0,0,0.03350335,0,0,0,0.01389861,0.1220122,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.02091285,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Epifaunal macrobenthos (mobile grazers),0,0,0,0,0.3341334,0.009366726,0.00740148,0.3033303,0.0657,0.04689531,0.2056206,0.02143964,0.1297128,0.07222889,0.1020898,0.02380238,0.1130115,0.2014125,0.000199997,0.000213109,0.00109989,0.0483,0,0,0.1297049,0.01129887,0.01000066,0,0,0,0.004499962,0,0.0008,0.1032103,0.2582,0.2104789,0.2240224,0.0128,0.0411,0.2473,0.06809319,0.00279972,0.003654093,0.0925,0.7829,0.0127,0.133909,0.0266,0,0,0,0,0,0.305032,0,0.05,0,0,0,0,0,0,0,0,0,0,0,0,0
Infaunal macrobenthos,0,0,0,0,0.05970597,0.008314284,0,0.1820182,0.0032,0.0019998,0.0020002,0.000702939,0.1006099,0.02601041,0.08169183,0.03960396,0.2510256,0.1511094,0.007299876,0,0,0,0.1905,0,0.1697064,0,0.002900191,0,0,0,1.00E-04,0.0140014,0.0056,0.1718172,0.2397,0.2720728,0.07130713,0.1154,0.0993,0.0349,0.05669433,0,0,0.1375,0.1131,0.0255,0.06020403,0,0,0,0,0,0,0.3116861,0.25,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0
Shrimp,0,0,0,0,0.07810781,0.02031211,0,0.0370037,0.0526,0.01079892,0.1166117,0.09852863,0.05290522,0.009003601,0.03059694,0.02810281,0.03950403,0.008800546,0.005199912,0.001278657,1.00E-04,0.1009,0,0.0425,0.000998038,0,0.02980197,0,0,0,0.000199998,0,0,0.01490149,0.001,0.04059594,0.00660066,0,0,0,0.05009499,0.02079792,0.001218031,0.0805,0.0367,0.0617,0.02010135,0.0144,0.02069793,0,0,0,0.0498,0.001066767,0,0,0,0.01031566,0,0,0,0,0,0,0,0,0,0,0
Small mobile epifauna (swarming crustaceans),0,0,0,0,0.06910691,0,0,0.04130413,0.2394,0.08129187,0.09650965,0.08622719,0.02460242,0.00140056,0.02179782,0.0030003,0.04070415,0.009400583,0.01419976,0.006073619,0,0,0.0476,0.0086,0.02750105,0,0.1402093,0.0519,0.0206,0,0.03199973,0,0.0155,0.1932193,0.3288,0.00329967,0.1526153,0,0,0,0,0.00139986,0,0.2205,0,0.0039,0.1314088,0.0122,0.1605839,0,0.1005,0,0.0796,0.02091285,0.15,0.05,0.04,0.05157829,0.1,0,0,0,0,0,0,0,0,0,0
Small infauna (polychaetes),0,0,0,0,0.1207121,0.001578662,0,0.07530753,0.1016,0.03219678,0.01210121,0.05248612,0.05030496,0.00070028,0.03329667,0.01290129,0.2193224,0.0854053,0.001099981,0.000426219,0,0.0002,0,0.012,0.1688064,0,0.000400026,0,0,0,0.120399,0,0.1875,0.469947,0.1379,0.2828717,0,0.4231,0.6576,0.6852,0,0,0,0.439,0.001,0.0212,0.03930263,0.0111,0.02119788,0,0,0,0,0.1101622,0.2,0.25,0.11,0.1031566,0,0.05,0,0,0,0,0,0,0,0,0
Sessile epifauna,0,0,0,0,0.008600861,0,0,0.00870087,0,0,0,0,0.001100108,0.00010004,0,0.00020002,0.00520053,0.007300453,0,0,0,0,0,0,0,0,0,0,0,0,0.002599978,0,0,0.0140014,0.011,0,0.04890489,0,0.1952,0.0244,0,0,0,0,0,0.0051,0,0,0,0,0,0,0,0.07446244,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Meiofauna,0,0,0,0,0.00050005,0,0,0.01010101,0.0042,0,0,0,0,0,0,0,0.00020002,0.001300081,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0478,0.00340034,0.0009,0,0,0.4359,0,0,0,0,0,0.0175,0,0.0008,0.02920196,0,0,0,0,0,0,0,0,0,0.05,0.1031566,0.15,0.15,0,0.05,0,0,0,0,0,0,0
"Benthic microflora (incl. Bacteria, protozoa))",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.05228214,0.1,0.1,0.3,0.1547349,0.2,0.4,0,0.75,0.1,0.02,0,0,0,0,0
"Planktonic microflora (incl. Bacteria, protozoa)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0.1821985,0.04760476,0.0476,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1018,0.05,0.0995,0.05228214,0.05,0.1,0.1,0.1237879,0.15,0.05,0.7,0,0.1,0.1,0,0,0,0,0
Phytoplankton,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0,0.0217,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.05329467,0.2,0,0.9,0.0995,0,0.1,0.05,0,0,0,0,0.1,0,0,0,0,0,0,0,0
Detritus - DOM -water column,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.05,0,0,0.03,0.05,0.1,0.1031566,0.1,0.15,0,0,0.2,0.65,0,0,0,0,0
Detritus - POM - sediment,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.02,0.15,0.3,0.1753662,0.3,0.2,0.2,0.2,0.6,0.23,0,0,0,0,0
Discards,0,0,0,0.2106789,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.05013387,0,0,0,0.02001238,0,0,0,0,0,0,0,0,0,0,0
Import,0,0,0,0.3366663,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
